id: A1, class: 0, status: 0
id: C1, class: 0, status: 0
id: D1, class: 0, status: 0
id: F1, class: 0, status: 0
id: A2, class: 0, status: 0
id: C2, class: 0, status: 0
id: D2, class: 0, status: 0
id: F2, class: 0, status: 0
id: A3, class: 0, status: 0
id: C3, class: 0, status: 0
id: D3, class: 0, status: 0
id: F3, class: 0, status: 0
id: A4, class: 0, status: 0
id: C4, class: 0, status: 0
id: D4, class: 0, status: 0
id: F4, class: 0, status: 0
id: A5, class: 0, status: 0
id: C5, class: 0, status: 0
id: D5, class: 0, status: 0
id: F5, class: 0, status: 0
id: A6, class: 1, status: 0
id: B6, class: 1, status: 0
id: C6, class: 1, status: 0
id: D6, class: 1, status: 0
id: E6, class: 1, status: 0
id: F6, class: 1, status: 0
id: A7, class: 2, status: 0
id: B7, class: 2, status: 0
id: C7, class: 2, status: 0
id: D7, class: 2, status: 0
id: E7, class: 2, status: 0
id: F7, class: 2, status: 0
id: A8, class: 1, status: 0
id: B8, class: 1, status: 0
id: C8, class: 1, status: 0
id: D8, class: 1, status: 0
id: E8, class: 1, status: 0
id: F8, class: 1, status: 0
id: A9, class: 1, status: 0
id: B9, class: 1, status: 0
id: C9, class: 1, status: 0
id: D9, class: 1, status: 0
id: E9, class: 1, status: 1, client_id: c2, client_name: Anna Petrova, booking_date_and_time: 2025-10-13T13:03:25.031967Z
id: F9, class: 1, status: 0
id: A10, class: 1, status: 0
id: B10, class: 1, status: 0
id: C10, class: 1, status: 0
id: D10, class: 1, status: 0
id: E10, class: 1, status: 0
id: F10, class: 1, status: 0
id: A11, class: 1, status: 0
id: B11, class: 1, status: 0
id: C11, class: 1, status: 0
id: D11, class: 1, status: 0
id: E11, class: 1, status: 0
id: F11, class: 1, status: 0
id: A12, class: 1, status: 0
id: B12, class: 1, status: 0
id: C12, class: 1, status: 0
id: D12, class: 1, status: 0
id: E12, class: 1, status: 0
id: F12, class: 1, status: 0
id: A13, class: 1, status: 0
id: B13, class: 1, status: 0
id: C13, class: 1, status: 0
id: D13, class: 1, status: 0
id: E13, class: 1, status: 0
id: F13, class: 1, status: 0
id: A14, class: 1, status: 0
id: B14, class: 1, status: 0
id: C14, class: 1, status: 0
id: D14, class: 1, status: 0
id: E14, class: 1, status: 0
id: F14, class: 1, status: 0
id: A15, class: 1, status: 0
id: B15, class: 1, status: 0
id: C15, class: 1, status: 0
id: D15, class: 1, status: 0
id: E15, class: 1, status: 0
id: F15, class: 1, status: 0
id: A16, class: 1, status: 0
id: B16, class: 1, status: 0
id: C16, class: 1, status: 0
id: D16, class: 1, status: 0
id: E16, class: 1, status: 0
id: F16, class: 1, status: 0
id: A17, class: 1, status: 0
id: B17, class: 1, status: 0
id: C17, class: 1, status: 0
id: D17, class: 1, status: 0
id: E17, class: 1, status: 0
id: F17, class: 1, status: 0
id: A18, class: 1, status: 0
id: B18, class: 1, status: 0
id: C18, class: 1, status: 0
id: D18, class: 1, status: 0
id: E18, class: 1, status: 0
id: F18, class: 1, status: 0
id: A19, class: 1, status: 0
id: B19, class: 1, status: 0
id: C19, class: 1, status: 0
id: D19, class: 1, status: 0
id: E19, class: 1, status: 0
id: F19, class: 1, status: 0
id: A20, class: 1, status: 0
id: B20, class: 1, status: 0
id: C20, class: 1, status: 0
id: D20, class: 1, status: 0
id: E20, class: 1, status: 0
id: F20, class: 1, status: 0
id: B21, class: 1, status: 0
id: C21, class: 1, status: 0
id: D21, class: 1, status: 0
id: E21, class: 1, status: 0
id: A21, class: 2, status: 0
id: F21, class: 2, status: 1, client_id: c3, client_name: Sergey Semenov, booking_date_and_time: 2025-10-13T13:03:25.031967Z
